last_updated,id_code,name,country,actor_type,isin_id,race_to_zero_member,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_intensity_unit,end_target_baseline_emissions,end_target_target_emissions,end_target_bau_emissions,end_target_other,end_target_year,end_target_status,status_date,interim_target,interim_target_percentage_reduction,interim_target_baseline_year,interim_target_intensity_unit,interim_target_baseline_emissions,interim_target_target_emissions,interim_target_bau_emissions,interim_target_other,interim_target_year,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,has_plan,plan_options,reporting_mechanism,equity,accountability,governance_notes,carbon_credit_offsets,carbon_credit_conditions,max_emission_offset,conditions_other,removals_targets,cdr,sinks_and_credits_notes,memberships,gdp_real,annual_revenue,population,industry,sector,employees,market_index,ghg,inventory_year,higher_net_zero
2021-10-13 15:58:42,REG-0010,Hawaii,USA,Region,,No,Climate neutral,,,,,,,,2045,In law,2018,Emissions reduction target,19.8,1990,,,,,,2020,"""pledge to be carbon-neutral by 2045"" - https://governor.hawaii.gov/newsroom/latest-news/governors-office-news-release-governor-david-ige-signs-bills-to-set-carbon-neutral-goal-and-combat-climate-change/","Reduce greenhouse gas emissions in the state to 1990 levels by 2020 (Act 234, 2007)",commitment to have a one hundred per cent renewable energy portfolio by 2045,https://www.capitol.hawaii.gov/session2018/bills/HB2182_CD1_.htm,Carbon dioxide and other GHGs,Yes,Not Specified,,,,,,No,,Yes,,Annual reporting,No,Not Specified,"Reports - https://climate.hawaii.gov/hi-mitigation/mitigation-reports/
""Beginning with the regular session of 2024, submit an annual report of its findings and recommendations, including any proposed legislation, to the legislature and the climate change mitigation and adaptation commission no later than twenty days prior to the convening of each regular session"" - https://www.capitol.hawaii.gov/session2018/bills/HB2182_CD1_.htm",Not Specified,,,,No,Not Specified,"""In Act 33, Session Laws of Hawaii 2017, the State established the carbon farming task force to gain a more thorough understanding of how agricultural land management practices can sequester carbon, provide greenhouse gas benefits, and decrease marine sedimentation""
aim to ""create a carbon offset program""",Race to Zero,97281700000,,1416000,,,,,19580000,2016,
2021-10-13 17:48:11,REG-0011,Maine,USA,Region,,Yes,Carbon neutral(ity),,,,,,,,2045,In law,2020,Emissions reduction target,45,1990,,,,,,2030,shall strive to achieve a carbon neutral economy no later than 2045,"2030: gross annual greenhouse gas emissions at least 45% below 1990
2040: gross annual greenhouse gas emissions must, at a minimum, be on an annual trajectory sufficient to achieve the 2050 annual emissions (80%)
renewable energy mandate of 80 percent renewable energy by 2030 and a goal of 100 percent by 2050",https://legislature.maine.gov/legis/bills/bills_129th/billtexts/SP055002.asp,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%209-23-2019_0.pdf,Not Specified,Not Specified,Not Specified,,,,,,No,,Yes,Schedule for regular review of measures,Less than annual reporting,Yes,Yes,"Maine Climate Council ""update that plan every four years"" and ""responsible for Maine's Climate Action Plan""
Plan from 2020: http://climatecouncil.maine.gov/future/sites/maine.gov.future/files/inline-files/MaineWontWait_December2020_printable_12.1.20.pdf",Not Specified,,,,No,Not Specified,"""Develop New Incentives to Increase Carbon Storage"" - http://climatecouncil.maine.gov/future/sites/maine.gov.future/files/inline-files/MaineWontWait_December2020_printable_12.1.20.pdf

""a comprehensive Maine carbon-cycle analysis is needed for the state to understand and track its progress towards carbon neutrality and allow for accurate potential future participation in carbon-offset markets"" - not currently a participant in offsetting",,67717000000,,1344000,,,,,15000000,2018,
2022-05-20 11:42:35,REG-0012,Massachusetts,USA,Region,,No,Net zero,,,,,,,,2050,In law,2020,Emissions reduction target,45,1990,,,,,,2030,"https://www.mass.gov/news/baker-polito-administration-releases-roadmap-to-achieve-net-zero-emissions-by-2050

a 2050 statewide emissions limit that achieves at least net zero
61 statewide greenhouse gas emissions; provided, however, that in no event shall the level of
62 emissions in 2050 be higher than a level 85 per cent below the 1990 level."," ""statewide greenhouse gas (GHG) emissions limit of  50% below the 1990 GHG emissions level for the year 2030 and 2040: shall be at least 75 per cent below the 1990 level
 https://malegislature.gov/Laws/SessionLaws/Acts/2021/Chapter8",Previous target 25% reduction on 1990 levels for 2020,https://malegislature.gov/Laws/SessionLaws/Acts/2021/Chapter8,Carbon dioxide and other GHGs,No,No,,,,,,No,"https://www.mass.gov/news/baker-polito-administration-issues-letter-establishing-net-zero-emissions-target
https://www.mass.gov/doc/ma-2050-decarbonization-roadmap/download direct and indrect emissions mentioned, but not explicitly clear what the target includes. Clarified in 2022:

“Direct emissions”, emissions from sources that are owned or operated, in whole or in part, by any person, entity or facility including, but not limited to, emissions from transportation or heating fuels or from any building, structure, distribution system or residential, commercial, institutional, industrial, waste management, agricultural or manufacturing process.

“Indirect emissions”, emissions associated with the consumption of any purchased electricity, fuel, steam and heating or cooling by a person, an entity or a facility in the commonwealth.
",Yes,"Measures for all emission scopes that are covered by the target|Information on the emission reductions expected from these measures within a certain time period|Schedule for regular review of measures|Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,Yes,Yes,"Reports - https://www.mass.gov/info-details/ma-decarbonization-roadmap#final-reports-

""Achieving Net Zero Affordably for All"" - https://www.mass.gov/doc/ma-2050-decarbonization-roadmap/download",Yes,No conditions specified,,,No,Not Specified,"""Commonwealth will need to explore other strategies [other than forest sequestration] within and outside of our own boundaries""

https://www.mass.gov/how-to/carbon-dioxide-co2-budget-trading-program-offsets-rggi MA has a program for offsets, but it is not clear if this is linked to targets

“Market-based compliance mechanism”, any form of market-based or priced compliance system imposed on sources or categories of sources of greenhouse gas emissions, or any pricing mechanism imposed directly on greenhouse gas emissions sources or on their distribution or sale, designed to reduce emissions as required by this chapter, which shall include, but not be limited to: (i) a system of market-based declining aggregate emissions limitations for sources or categories of sources that emit greenhouse gases; (ii) greenhouse gas emissions exchanges, banking, credits and other transactions governed by rules and protocols established by the secretary and the department, the regional greenhouse gas initiative or other similar multi-jurisdictional program that results in greenhouse gas emissions reductions; or (iii) a system of charges or exactions imposed to reduce statewide greenhouse gas emissions, in whole or in part.",,596593000000,,6893000,,,,,63000000,2018,
2022-03-24 15:03:53,REG-0013,Michigan,USA,Region,,No,Carbon neutral(ity),,,,,,,,2050,In law,2020,Emissions reduction target,28,2005,,,,,,2025,"""economy-wide carbon neutrality no later than 2050, and to maintain net negative greenhouse gas emissions thereafter""","Reduce GHG emissions 28% below 2005 levels by 2025
Reduce GHG emissions 52% below 2005 levels by 2030","https://www.michigan.gov/whitmer/0,9309,7-387-90499_90704-540278--,00.html

https://www.michigan.gov/documents/egle/Draft-MI-Healthy-Climate-Plan_745872_7.pdf    -is URL for a draft plan so may be removed when final version is removed",https://www.michigan.gov/documents/egle/Draft-MI-Healthy-Climate-Plan_745872_7.pdf,Not Specified,Yes,Not Specified,,,,,,No,Not specified- reference is only to GHG,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Less than annual reporting,Yes,Not Specified,"Quite a detailed plan on Energy productions, transportation, businesses and homes, environmnetal justice, leadership and innovation. ",Not Specified,,,,No,Not Specified,,,536888000000,,9987000,,,,,162100000,2018,
2021-10-17 10:34:41,REG-0014,Montana,USA,Region,,No,GHG neutral(ity),,,,,,,,2050,In policy document,2020,Other,,,,,,, net ghg neutrality for average annual electric loads in the state,2035,"""goal of net greenhouse gas neutrality economy-wide at a date to be determined by the Council."" - http://formergovernors.mt.gov/bullock/docs/2019EOs/EO-08-2019_Creating%20Climate%20Solutions%20Council.pdf","""achieving an interim goal of net greenhouse gas neutrality for average annual electric loads in the state by no later than 2035"" - http://formergovernors.mt.gov/bullock/docs/2019EOs/EO-08-2019_Creating%20Climate%20Solutions%20Council.pdf","Year for economy-wide GHG neutrality chosen by council in 2020 report: https://deq.mt.gov/files/DEQAdmin/Climate/2020-09-09_MontanaClimateSolutions_Final.pdf p58
""In accordance with Executive Order 8-2019, the Council is charged with adopting a target date by which the Council believes the state should adopt GHG neutrality across the economy.
The Council considered IPCC guidance and the objectives identified by a number of states. In accordance with those objectives and guidance, the Council identified an option of a goal of 2050
or a range targeting 2045–2050. Upon vote of the Council, this range was adopted with the intent to address the need for flexibility in achieving a specific goal, while also acknowledging the urgent action that is needed to address the increasing threats and impacts of climate change.""",http://formergovernors.mt.gov/bullock/docs/2019EOs/EO-08-2019_Creating%20Climate%20Solutions%20Council.pdf,Carbon dioxide and other GHGs,No,Not Specified,,,,,,No,"""net greenhouse gas neutrality economy-wide""",Yes,,No reporting mechanism,No,Not Specified,"""The Council shall complete its work and cease to exist by August 1, 2020, unless rescinded or renewed by subsequent executive order. ""
https://deq.mt.gov/files/DEQAdmin/Climate/2020-09-09_MontanaClimateSolutions_Final.pdf",Not Specified,,,,No,Not Specified,,,52935000000,,1069000,,,,,30700000,2018,
2022-05-11 15:24:50,REG-0015,New York State,USA,Region,,Yes,Net zero,,,,,,,,2050,In law,2019,Emissions reduction target,40,1990,,,,,,2030,"""adopt measures to put the state on a path to reduce statewide greenhouse gas emissions by eighty-five percent by two thousand fifty and net zero emissions in all sectors of the economy""","2030: 40% below 1990 levels by 2030 
2050: no less than 85% below 1990 levels","""minimum of 70 percent of statewide electric generation be secured by renewable energy systems by 2030 and zero emissions from the statewide electrical demand system in 2040""

""the community air monitoring program required by section 2 of the act shall take effect on October 1, 2022""",https://www.nysenate.gov/legislation/bills/2019/s6599,Carbon dioxide and other GHGs,Yes,No,,,,,,No,"""statewide greenhouse gas emissions means the total annual emissions of greenhouse gases produced within the state from anthropogenic sources and greenhouse gases produced outside  of  the state that are associated with the generation of electricity imported into the state and the extraction and transmission of fossil fuels  imported into the state""",No,,Less than annual reporting,Yes,Not Specified,"Equity - ""provisions to address potential impacts on disadvantaged communities""; ""THE  COUNCIL  SHALL  CONVENE  A JUST TRANSITION WORKING GROUP

Plan, when released, will refer to ideas relating to just transition and equity
""The Climate Action Council shall on or before two years of the effective date of this article, prepare and approve a Scoping Plan outlining the recommendations for attaining the statewide greenhouse gas emissions limits"" (due 01/01/22 https://climate.law.columbia.edu/content/prepare-draft-scoping-plan)
""The CAC will update its scoping plan for achieving the statewide GHG emissions limits at least once every five years""",Yes,Must be high environmental integrity|Avoid social harm|Maximum percentage of emissions that can be offset|Other conditions,15,"""real, additional, verifiable, enforceable, and permanent""
""sufficiently demonstrate  that  compliance with  the  greenhouse gas emissions limits is not technologically feasible, and that the source has reduced emissions  to  the  maximum  extent practicable""
""sources in the electric generation sector shall not be eligible to participate in such mechanism.""
other prohibited projects: waste-to-energy projects (inc incineration and pyrolysis), biofuels for energy/transport, research projects and studies/assessments without commitment to implement
""discernable benefit to the environment rather than to the source""
""located in the  same  county,  and  within  twenty-five  linear miles, of the source of emissions, to the extent practicable""",No,Not Specified,"Offsetting: 
""the use of such  mechanism  shall  account  for  not  greater  than fifteen  percent  of  statewide  greenhouse gas emissions estimated as a percentage of nineteen ninety emissions pursuant to section  75-0105  of this  article,  provided  that  the  use of this mechanism must offset a quantity greater than or equal to  the  greenhouse  gases  emitted""
""the offset  of  greenhouse  gas  emissions shall not result in disadvantaged communities having to bear a disproportionate  burden of environmental
impacts""",Race to Zero,1772260000000,,,,,,,205610000,2016,
2021-10-17 10:06:33,REG-0016,Washington State,USA,Region,,Yes,Net zero,,,,,,,,2050,In law,2020,Emissions reduction target,45,1990,,,,,,2030,"""net zero greenhouse gas emissions by 2050""","2030: 45% below 2005
2040: 70% below 2005
2050: 95% below 2005 & achieve net zero GHG emissions",https://apps.leg.wa.gov/rcw/default.aspx?cite=70A.45.020,https://ecology.wa.gov/Air-Climate/Climate-change/Greenhouse-gases,Carbon dioxide and other GHGs,Yes,Not Specified,,,,,,No,"""overall emissions of greenhouse gases in the state""",No,,Less than annual reporting,Yes,Not Specified,"""By December 31st of each even-numbered year beginning in 2010, the department and the department of commerce shall report to the governor and the appropriate committees of the senate and house of representatives the total emissions of greenhouse gases for the preceding two years"" - https://apps.leg.wa.gov/rcw/default.aspx?cite=70A.45.020

Equity: limits to be met in a way that
(a) Reduces the burdens and creates benefits for vulnerable populations and highly impacted communities with long-term and short-term outcomes for public health, economic well-being, local environments, and community resiliency that benefits all Washington residents;
(b) Supports the current skilled and trained construction workforce, retains and creates other high quality employment opportunities, and generates broad, widely shared economic benefits for the state and Washington residents; and
(c) Maintains Washington's manufacturing economy and avoids leakage of emissions to other jurisdictions",Yes,Maximum percentage of emissions that can be offset,5,,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)","""all pathways to one and one-half degrees Celsius rely on some amount of negative emissions through carbon sequestration. It is therefore the intent of the legislature to strengthen Washington's statutory greenhouse gas emission limits to reflect current science and to align with the limits that other jurisdictions are setting to combat climate change and to encourage voluntary actions that increase carbon sequestration on natural and working lands and storage in the related products from those lands."" - https://apps.leg.wa.gov/rcw/default.aspx?cite=70A.45.020

https://ecology.wa.gov/Air-Climate/Climate-change/Greenhouse-gases/Reducing-greenhouse-gases/Climate-Commitment-Act ""A portion of a facility’s compliance obligation can come from credits generated by projects that prevent greenhouse gas emissions, called offset projects. Covered entities can meet up to 5% of their obligations with offsets through 2026, and 4% from 2027 to 2030""",Race to Zero,612996000000,,,,,,,78800000,2018,
2021-10-17 15:52:44,REG-0017,Queensland,AUS,Region,,Yes,Net zero,,,,,,,,2050,In policy document,2020,Emissions reduction target,30,2005,,,,,,2030,zero net emissions',"2030: at least 30% below 2005 levels (contingent on continued national and global action to meet the goals of the Paris Agreement.)
2030: 50% renewable energy",,https://www.qld.gov.au/__data/assets/pdf_file/0026/67283/qld-climate-transition-strategy.pdf,Not Specified,Not Specified,Not Specified,,,,,,,,Yes,,Annual reporting,Yes,,,Not Specified,,,,,,,Race to Zero,239005000000,,4703193,,,,,,,
2021-10-17 15:57:45,REG-0018,South Australia,AUS,Region,,Yes,Net zero,,,,,,,,2050,In policy document,2020,Emissions reduction target,50,2005,,,,,,2030,,"2030: reduced by more than 50% below 2005 levels
Other targets:
- Achieve A$10 billion in low carbon investment by 2025
- Achieve 50% of electricity production from renewables by 2025
- Improve energy efficiency of government buildings by 30% by 2020",,https://www.environment.sa.gov.au/topics/climate-change/climate-change-action-plan-2021-2025,Carbon dioxide only,Not Specified,Not Specified,,,,,,,,Yes,,Less than annual reporting,No,,,Not Specified,,,,,,,Race to Zero,72288506000,,1677300,,,,,,,
2021-10-17 15:59:48,REG-0019,Victoria,AUS,Region,,Yes,Net zero,,,,,,,,2050,In law,2021,Emissions reduction target,33,2005,,,,,,2025,"Victoria’s Climate Change Strategy is a roadmap to net-zero emissions and a climate resilient Victoria by 2050.

The initiatives in the Climate Change Strategy will support communities and businesses to make the changes we need to reduce the impacts of climate change and continue to support our economy to grow.

The Government has set ambitious, but achievable targets to reduce the state’s greenhouse gas emissions from 2005 levels by 28–33% by 2025 and 45–50% by 2030. These targets maintain Victoria’s position as a climate leader in Australia and confirms our position among leading jurisdictions around the world, such as the United States and the European Union.

To achieve these emissions reduction targets Victoria’s Climate Change Strategy includes actions to:

transition our state to a clean energy future that will create jobs, cut costs for households and businesses and strengthen our energy system
invest in innovative technologies, such as zero emissions vehicles and hydrogen, and partner with businesses and communities to set Victoria up for their adoption
recognise and safeguard the role of our natural environment in reducing emissions, and ensure our farmers are well placed to embrace new technologies and practices that reduce emissions
support Victorian businesses and communities to cut emissions and thrive in a net-zero emissions future.",,,https://www.climatechange.vic.gov.au/__data/assets/pdf_file/0025/522169/Victorian-Climate-Change-Strategy-Accessible.pdf,Carbon dioxide and other GHGs,Yes,Not Specified,,,,,,,,Yes,Measures for all emission scopes that are covered by the target,Annual reporting,Yes,,,Not Specified,,,,,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)","It also means embracing new ways
to contribute to net-zero emissions by 2050
– including in the emerging areas of soil
carbon and blue carbon sequestration",Race to Zero,298605000000,,5926624,,,,,271742,2019,
2021-10-17 16:07:52,REG-0020,Northern Territory,AUS,Region,,Yes,Net zero,,,,,,,,2050,In policy document,2020,Other,,,,,,,"50% renewable energy for electricity
consumed from grid-connected
installations by 2030 ",,"Our objective is to progressively
reduce net greenhouse gas
emissions in the Territory, with the
goal of achieving net zero emissions
by 2050. This long-term objective
sets expectations about future
emissions constraints to help our
industries and businesses plan and
adapt. Aiming to achieve net zero
emissions aligns the Territory with all
other States and Territories across
Australia","The Territory Government is also
committed to reducing emissions and
transition to more sustainable energy
sources. This is reflected in the target
of 50% renewable energy for electricity
consumed from grid-connected
installations by 2030 as part of its
‘Roadmap to Renewables’ (the renewable
energy target). ",,https://depws.nt.gov.au/__data/assets/pdf_file/0005/904775/northern-territory-climate-change-response-towards-2050.pdf,Carbon dioxide and other GHGs,Yes,Not Specified,,,,,,,,Yes,Schedule for regular review of measures,Less than annual reporting,No,Not Specified,,Not Specified,,,,,,,Race to Zero,17477364600,,245869,,,,,,,
2021-10-12 18:22:45,REG-0021,British Columbia,CAN,Region,,Yes,Emissions reduction target,80,2007,,,,,,2050,In law,2020,Emissions reduction target,60,2007,,,,,,2040,"B.C. is committed to reducing greenhouse gas emissions by 16% below 2007 levels by 2025, 40% by 2030, 60% by 2040 and 80% by 2050","B.C. is committed to reducing greenhouse gas emissions by 16% below 2007 levels by 2025, 40% by 2030, 60% by 2040 and 80% by 2050",,https://www2.gov.bc.ca/gov/content/environment/climate-change,Carbon dioxide and other GHGs,Not Specified,Yes,,,,,,Yes,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures",Annual reporting,No,Yes,,Yes,No conditions specified,,,Yes,Not Specified,,,244709000000,,5071336,,,,,67924286,2018,
2022-06-08 16:43:50,REG-0022,Manitoba,CAN,Region,,No,Carbon neutral(ity),,,,,,,,2080,In policy document,2015,Emissions reduction target,33,2005,,,,,,2030,"'By 2080, Manitoba will be carbon neutral'","'By 2030, Manitoba will reduce its greenhouse gas emissions by one-third over 2005 levels'
Another interim target includes 'By 2050, Manitoba will reduce its greenhouse gas emissions by one-half over 2005 levels.'","Interim targets mention greenhouse gas emissions, but the final target only considers carbon. ",https://www.gov.mb.ca/sd/annual-reports/sdif/mb-climate-change-green-economy-action-plan.pdf,Carbon dioxide only,Not Specified,Not Specified,,,,,,No,"'Manitoba's emissions were approximately 20.7 megatonnes (MT) in 2005 and 21.4 MT in 2013. Reducing emissions by one-third over 2005 levels by 2030 will require 7.6 MT of GHG reductions' 

End target is 'carbon neutral', although interim targets refer to GHGs, as does The Climate and Green Plan Act https://web2.gov.mb.ca/laws/statutes/ccsm/c134e.php",Yes,Measures for all emission scopes that are covered by the target,Annual reporting,Yes,Yes,"https://web2.gov.mb.ca/laws/statutes/ccsm/c134e.php
""For the five-year period 2018 to 2022 and for each five-year period after that, the minister must establish greenhouse gas emissions reduction goals for Manitoba.""
""The minister must prepare an annual report on the programs, policies and measures employed in that year to implement the climate and green plan.""",Yes,Other conditions,,"""The offset program will be local and transparent, with regular audits to ensure that it is high quality and in the interest of Manitobans.""",Yes,No,"""As a carbon neutral government, we will reduce our total carbon footprint and purchase carbon offsets for the remaining emissions."" - p24 https://www.gov.mb.ca/sd/annual-reports/sdif/mb-climate-change-green-economy-action-plan.pdf",,60214000000,,1369465,,,,,,,
2021-10-14 20:08:39,REG-0023,New Brunswick,CAN,Region,,No,Emissions reduction target,30,2005,,,,,,2030,In policy document,2020,No target,,,,,,,,,Reduction by 2030 30%,,,https://www2.gnb.ca/content/dam/gnb/Departments/env/pdf/Climate-Climatiques/nb-climate-change-action-plan-progress-report-2020.pdf,Carbon dioxide and other GHGs,No,Yes,,,,,,Yes,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Information on the emission reductions expected from these measures within a certain time period",Annual reporting,No,Yes,,Yes,No conditions specified,,,No,No,,,30622000000,,776827,,,,,,,
2021-10-14 20:20:15,REG-0024,Newfoundland and Labrador,CAN,Region,,No,Emissions reduction target,85,1990,,,,,,2050,In policy document,2020,Emissions reduction target,10,1990,,,,,,2020,"In 2007, the Provincial Government committed to reduce GHG emissions by 10 per cent below
1990 levels by 2020, and by 75 to 85 per cent below 2001 levels by 2050.","In 2007, the Provincial Government committed to reduce GHG emissions by 10 per cent below
1990 levels by 2020, and by 75 to 85 per cent below 2001 levels by 2050.",,https://www.gov.nl.ca/releases/2020/mae/0605n04/,Carbon dioxide and other GHGs,No,No,,,,,,No,,Yes,,No reporting mechanism,No,Not Specified,,Not Specified,,,,No,No,,,27537000000,,521542,,,,,11009469,2018,
2021-10-14 20:25:57,REG-0025,Nova Scotia,CAN,Region,,Yes,Net zero,,,,,,,,2050,In law,2020,Emissions reduction target,53,1990,,,,,,2030,"(c) by 2050, at net zero, by balancing greenhouse gas emissions with greenhouse gas removals and other offsetting measures.

","(b) by 2030, at least 53% below the levels that were emitted in 2005; and

",,https://nslegislature.ca/legc/bills/63rd_2nd/3rd_read/b213.htm,Carbon dioxide and other GHGs,No,No,,,,,,No,,No,,Annual reporting,No,Not Specified,,Yes,No conditions specified,,,No,No,,,36743000000,,971395,,,,,,,
2022-05-11 22:58:59,REG-0026,Ontario,CAN,Region,,No,Emissions reduction target,30,2005,,,,,,2030,In policy document,2018,,,,,,,,,,Ontario will reduce its emissions by 30% below 2005 levels by 2030.,,,https://prod-environmental-registry.s3.amazonaws.com/2018-11/EnvironmentPlan.pdf,Carbon dioxide and other GHGs,Not Specified,Not Specified,,,,,,No,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures",Less than annual reporting,No,Not Specified,,Not Specified,,,,No,Not Specified,,,710252000000,,181107,,,,,,,
2021-10-14 20:43:16,REG-0027,Prince Edward Island,CAN,Region,,No,Net zero,,,,,,,,2040,Proposed / in discussion,2020,Emissions reduction target,30,2005,,,,,,2030,2040 -PEI Dirst in Canada Net Zero GHG Emissions,"By 2030, reduce greenhouse gas emissions with target of 1.2 megatonnes net zero energy.",,https://www.princeedwardisland.ca/sites/default/files/publications/pei_path_towards_net_zero_framework.pdf,Carbon dioxide and other GHGs,Yes,Not Specified,,,,,,Yes,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,Not Specified,,Not Specified,,,,No,No,,,5794000000,,156947,,,,,,,
2021-10-14 20:49:04,REG-0028,Yukon,CAN,Region,,No,Net zero,,,,,,,,2050,,2020,Emissions reduction target,30,2010,,,,,,2030,"Reaching these targets by 2030 will put Yukon on
the path to net-zero greenhouse gas emissions by
2050 for our entire economy","As a result, to reach our 30 per cent greenhouse gas reduction target by 2030, we estimate that
we need to reduce our emissions by 263 kilotonnes.",,https://yukon.ca/sites/yukon.ca/files/env/env-our-clean-future.pdf,Carbon dioxide and other GHGs,Yes,Yes,,,,,,Yes,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures|Information on the emission reductions expected from these measures within a certain time period",Annual reporting,Yes,Yes,"Could taking action in this area positively or
negatively affect social equity and community
wellbeing?",Yes,No conditions specified,,,No,No,,,2523000000,,38669,,,,,,,
2021-10-05 14:45:52,REG-0029,Gujarat,IND,Region,,No,No target,,,,,,,,,,,No target,,,,,,,,,,,,https://moef.gov.in/wp-content/uploads/2017/08/Gujarat-SAPCC.pdf,Not Specified,Not Specified,Not Specified,,,,,,,,Yes,,No reporting mechanism,Yes,,,Yes,No conditions specified,,,,,,,210000000000,,63872399,,,,,,,
2021-10-05 15:39:00,REG-0030,Himachal Pradesh,IND,Region,,No,Carbon neutral(ity),,,,,,,,2020,Declaration / pledge,2012,No target,,,,,,,,,"Target not yet reached, but no recent updates exist",,"State action plan on climate change:
https://moef.gov.in/wp-content/uploads/2017/08/Himachal-Pradesh.pdf","https://www.teriin.org/projects/green/pdf/HP-Mitigation.pdf#:~:text=The%20State%20Action%20Plan%20on%20Climate%20Change%20of,public%20transport%29%2C%20and%20energy%20efficiency%20improvements%20in%20industry.",Not Specified,Not Specified,Not Specified,,,,,,,,Yes,,No reporting mechanism,Yes,No,,Not Specified,,,,No,Not Specified,,,23000000000,,7451955,,,,,,,
2021-10-07 15:49:34,REG-0031,Tripura,IND,Region,,No,No target,,,,,,,,,,,No target,,,,,,,,,,,"Version of state action plan for climate change (1) below claims Tripura is already carbon neutral, however version (2) does not, and this claim does not appear elsewhere.
(1) - https://moef.gov.in/wp-content/uploads/2017/09/TRIPURA.pdf
(2) - https://dste.tripura.gov.in/tccc/pdf/state_action_plan.pdf",https://moef.gov.in/wp-content/uploads/2017/09/TRIPURA.pdf,Not Specified,Not Specified,Not Specified,,,,,,,,Yes,,No reporting mechanism,Yes,,,Not Specified,,,,,,,,7800000000,,4169794,,,,,,,
2021-10-07 20:58:17,REG-0032,Uttarakhand,IND,Region,,No,Carbon neutral(ity),,,,,,,,2020,In policy document,2014,No target,,,,,,,,,Carbon neutrality has not yet been reached. However the state still has the aim of becoming carbon neutral in the near future. ,,,https://moef.gov.in/wp-content/uploads/2017/08/Uttarakhand-SAPCC.pdf,Not Specified,Not Specified,Not Specified,,,,,,No,,No,,No reporting mechanism,Yes,No,,Not Specified,,,,No,Not Specified,,,34000000000,,11250858,,,,,,,
2021-10-05 16:09:40,REG-0033,Jammu and Kashmir,IND,Region,,No,No target,,,,,,,,,,,No target,,,,,,,,,,,"Region of Jammu and Kashmir split in two in 2019, so State action plan on climate change below now applies to two states.
Carbon neutrality pledge exists for the other state in the pair.",http://moef.gov.in/wp-content/uploads/2017/08/Jammu-Kashmir.pdf,Not Specified,Not Specified,Not Specified,,,,,,,,No,,No reporting mechanism,No,,,Not Specified,,,,,,,,22000000000,,13606320,,,,,,,
2021-09-27 15:30:46,REG-0034,Chandigarh,IND,Region,,No,No target,,,,,,,,,Proposed / in discussion,2020,No target,,,,,,,,,"Focus on harnessing solar energy, reducing GHG emission. No specific targets",,,http://moef.gov.in/wp-content/uploads/2017/08/Chandigarh-SAPCC.pdf,Not Specified,,,,,,,,,,Yes,,No reporting mechanism,,,,,,,,,,,,,,1158473,,,,,,,
2022-11-12 14:04:37,REG-0035,Delhi (union territory),IND,Region,,No,No target,,,,,,,,,,2017,No target,,,,,,,,,,,,https://moef.gov.in/wp-content/uploads/2017/08/Delhi-State-Action-Plan-on-Cimate-Change.pdf,Not Specified,Not Specified,Not Specified,,,,,,,,Yes,,Less than annual reporting,Yes,,,Not Specified,,,,,,,,120000000000,,18710922,,,,,,,
2021-10-05 16:12:40,REG-0036,Ladakh,IND,Region,,No,Carbon neutral(ity),,,,,,,,,Declaration / pledge,2020,No target,,,,,,,,,,,"Ladakh was formerly part of Jammu and Kashmir region, so its State action plan for climate change is covered by the following:
https://moef.gov.in/wp-content/uploads/2017/08/Jammu-Kashmir.pdf
",https://pib.gov.in/PressReleasePage.aspx?PRID=1646044,Not Specified,Not Specified,Not Specified,,,,,,No,,No,,No reporting mechanism,No,No,,Not Specified,,,,No,Not Specified,,,,,289023,,,,,,,
